"Addresses","Labels"
"401 Appalachian Way, McKinney, TX 75071-6461","401 Appalachian Way"
"1351 Hardin Boulevard, McKinney, TX, 75071","Cockrill Middle"
"600 Lake Forest Drive, McKinney, TX, 75071","McKinney Boyd High"
